TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1477421854,"North Station","323","Lowell",1477422000,0,"7","Now Boarding"
1477421854,"North Station","165","Newburyport",1477422900,0,,"On Time"
1477421854,"North Station","211","Haverhill",1477422900,0,,"On Time"
1477421854,"North Station","415","Wachusett",1477423800,0,,"On Time"
1477421854,"North Station","113","Rockport",1477424220,0,,"On Time"
1477421854,"North Station","325","Lowell",1477424400,0,,"On Time"
1477421854,"North Station","291","Reading",1477425000,0,,"On Time"
1477421854,"North Station","493","Littleton / Rte 495",1477425540,0,,"On Time"
1477421854,"North Station","327","Lowell",1477426200,0,,"On Time"
1477421854,"North Station","115","Rockport",1477426500,0,,"On Time"
1477421854,"North Station","393","Anderson/Woburn",1477426800,0,,"On Time"
1477421854,"North Station","167","Newburyport",1477427400,0,,"On Time"
1477421854,"North Station","417","Fitchburg",1477427400,0,,"On Time"
1477421854,"North Station","213","Haverhill",1477427400,0,,"On Time"
1477421854,"North Station","193","Beverly",1477428000,0,,"On Time"
1477421854,"North Station","329","Lowell",1477428300,0,,"On Time"
1477421854,"North Station","293","Reading",1477428480,0,,"On Time"
1477421854,"North Station","117","Rockport",1477429200,0,,"On Time"
1477421854,"North Station","419","Fitchburg",1477429200,0,,"On Time"
1477421854,"South Station","613","Needham Heights",1477422000,0,"3","Now Boarding"
1477421854,"South Station","817","Wickford Junction",1477423500,0,,"On Time"
1477421854,"South Station","517","Worcester / Union Station",1477423800,0,,"On Time"
1477421854,"South Station","771","Readville",1477423800,0,,"On Time"
1477421854,"South Station","913","Stoughton",1477424100,0,,"On Time"
1477421854,"South Station","589","Framingham",1477424400,0,,"On Time"
1477421854,"South Station","017","Middleboro/Lakeville",1477424580,0,,"On Time"
1477421854,"South Station","715","Forge Park / 495",1477425000,0,,"On Time"
1477421854,"South Station","819","Providence",1477425300,0,,"On Time"
1477421854,"South Station","081","Greenbush",1477425720,0,,"On Time"
1477421854,"South Station","615","Needham Heights",1477425900,0,,"On Time"
1477421854,"South Station","773","Readville",1477426500,0,,"On Time"
1477421854,"South Station","743","Norwood Central",1477426500,0,,"On Time"
1477421854,"South Station","043","Kingston",1477426800,0,,"On Time"
1477421854,"South Station","915","Stoughton",1477426800,0,,"On Time"
1477421854,"South Station","519","Worcester / Union Station",1477427100,0,,"On Time"
1477421854,"South Station","821","Wickford Junction",1477427400,0,,"On Time"
